A	B	C	D	sex	age	edu	Unnamed: 0
discrete	discrete	discrete	discrete	discrete	discrete	discrete	string
							meta
2	3	4	3	2	2	3	1
3	4	2	3	1	3	4	2
2	3	2	4	2	3	2	3
2	2	2	2	1	2	3	4
3	3	3	3	1	5	2	5
3	4	4	5	1	3	2	6
3	4	2	4	2	5	2	7
3	4	4	2	1	3	3	8
3	2	2	1	1	3	2	9
3	3	2	2	1	3	2	10
4	5	3	4	2	2	6	11
4	4	1	4	2	2	3	12
3	4	3	2	1	5	2	13
4	5	2	2	1	4	2	14
3	4	3	4	1	3	6	15
2	5	2	4	2	2	5	16
2	5	2	1	2	3	2	17
2	2	2	3	2	2	3	18
2	5	3	1	2	2	3	19
3	4	1	4	1	2	3	20
2	2	1	2	2	5	3	21
5	4	4	3	2	5	4	22
4	2	2	4	2	5	2	23
1	5	5	2	2	2	2	24
1	2	3	3	2	2	2	25
3	4	4	5	2	3	6	26
5	4	3	4	2	1	1	27
5	5	3	3	2	2	5	28
4	4	5	4	2	1	5	29
2	4	1	4	2	3	2	30
5	3	3	3	2	2	3	31
4	3	3	2	1	2	6	32
1	3	3	4	1	6	2	33
4	4	4	2	1	5	2	34
5	4	4	3	2	6	2	35
1	3	4	3	2	2	4	36
5	5	3	3	1	2	3	37
3	4	3	4	1	4	2	38
4	5	4	2	1	3	3	39
3	2	4	4	1	1	4	40
2	4	3	3	1	5	2	41
2	1	2	3	2	3	2	42
2	1	2	3	2	1	3	43
1	1	1	2	2	3	2	44
2	3	3	3	1	5	2	45
3	1	3	3	2	5	3	46
3	3	1	4	2	6	2	47
2	2	3	2	2	2	1	48
2	1	1	2	1	6	2	49
1	2	2	1	2	6	3	50
4	1	3	2	2	5	3	51
4	2	2	2	1	6	2	52
2	2	1	1	2	3	3	53
2	3	2	2	1	2	3	54
2	3	2	2	2	2	2	55
3	4	3	3	1	4	5	56
2	2	2	2	2	1	4	57
4	4	3	3	2	2	2	58
3	2	2	3	1	3	3	59
3	2	4	2	1	5	3	60
3	4	2	2	1	4	2	61
3	2	3	2	1	3	3	62
2	3	2	4	2	3	6	63
1	1	2	5	2	3	3	64
3	2	4	4	2	6	2	65
3	4	3	3	1	3	6	66
2	3	2	4	2	5	2	67
3	2	3	2	1	5	2	68
3	2	2	2	2	3	3	69
4	4	4	2	1	3	2	70
4	4	2	2	2	2	3	71
4	5	2	2	2	3	2	72
2	2	1	1	2	6	2	73
2	3	2	1	2	6	2	74
4	4	3	2	2	1	5	75
4	3	2	1	1	5	2	76
1	3	1	1	1	3	4	77
2	1	1	1	2	3	4	78
3	4	4	4	2	3	3	79
2	2	2	3	2	2	2	80
2	2	2	3	2	4	2	81
3	4	3	2	1	5	3	82
5	5	2	5	1	4	6	83
4	3	2	3	2	2	6	84
2	3	2	2	2	5	2	85
1	1	3	3	2	6	3	86
1	1	2	5	1	4	2	87
2	4	3	3	1	3	2	88
2	3	3	2	2	2	2	89
2	1	2	3	2	2	3	90
2	2	3	3	2	2	2	91
3	3	2	2	1	3	3	92
2	3	2	2	1	2	2	93
4	4	3	3	2	1	3	94
4	2	2	5	2	1	2	95
4	5	2	5	1	2	3	96
3	3	3	3	2	2	3	97
4	4	4	2	1	1	3	98
3	2	2	3	1	2	2	99
4	4	2	4	1	3	2	100
4	4	4	2	1	5	1	101
4	2	3	4	1	3	5	102
3	4	4	4	1	5	2	103
2	3	2	4	2	6	2	104
1	3	1	3	2	6	1	105
3	5	2	5	1	6	3	106
2	4	2	4	1	6	2	107
2	5	2	3	1	6	2	108
3	4	3	4	2	1	3	109
2	4	2	3	1	6	3	110
3	5	2	3	2	4	6	111
1	2	2	2	2	4	2	112
2	4	4	3	1	4	6	113
4	5	3	4	2	2	3	114
4	4	5	2	2	5	6	115
2	5	5	2	1	3	3	116
4	4	2	4	2	6	2	117
2	4	2	4	2	1	2	118
3	4	2	4	2	1	3	119
2	3	4	4	1	2	4	120
3	2	1	5	1	4	3	121
3	3	1	4	1	4	3	122
3	3	1	5	2	4	4	123
3	4	2	5	2	2	2	124
4	5	4	5	2	2	2	125
3	4	3	3	1	4	2	126
2	4	4	2	1	4	1	127
3	4	3	2	2	3	2	128
2	4	3	4	1	5	2	129
5	5	2	5	2	3	3	130
2	3	2	4	2	2	4	131
3	5	3	3	1	4	6	132
2	4	2	4	2	3	2	133
2	5	3	5	2	4	3	134
1	2	1	4	2	2	2	135
3	3	3	4	1	3	2	136
3	3	2	3	1	1	2	137
3	2	3	3	1	5	3	138
2	3	2	3	2	2	2	139
3	2	2	2	2	5	3	140
3	4	2	4	2	4	2	141
2	4	2	2	1	1	5	142
4	3	2	1	2	2	2	143
2	2	2	2	2	5	2	144
4	2	2	3	1	6	2	145
4	4	3	2	2	2	3	146
3	2	4	3	2	4	2	147
2	4	2	2	2	3	3	148
1	4	2	4	1	5	3	149
1	3	2	4	1	1	4	150
2	3	4	4	2	2	3	151
3	3	3	4	1	5	2	152
2	3	3	3	2	3	3	153
1	1	1	5	2	2	3	154
3	3	3	3	1	3	2	155
